monetary,countryID,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022,yr2023
GDPperCapita,ARE,1126.04,1173.39,1282.44,1468.82,1567.64,1620.74,1502.91,1322.31,1584.95,1588.88,1589.25
GDPperCapita,AUS,46298.92,48023.87,41103.26,42136.12,44652.59,47939.69,46793.69,46772.83,51203.55,48717.99,49502.52
GDPperCapita,CAN,43449.09,47447.59,45071.07,41146.08,40622.69,43306.42,42747.08,40138.42,46585.9,46125.26,45330.43
GDPperCapita,CHN,35235.31,35893.54,30242.39,30960.72,31406.72,34622.17,33673.75,31918.69,35755.83,34766.42,35026.48
GDPperCapita,DEU,42602.72,43068.55,43068.92,37062.53,38781.05,41557.85,40494.9,39055.28,43.649.9,40886.24,43.216.39
GDPperCapita,EGY,12578.19,12165.22,11050,10970.05,10695.55,9562.75,9202.47,8638.14,9733.34,10674.5,10887.59
GDPperCapita,FRA,45729.61,46865.96,41252.14,41054.54,43063.97,46722.27,45376.17,37629.17,44135.55,53707.98,55518.32
GDPperCapita,GBR,6280.68,5757.54,4990.94,5497.24,5758.59,3829.83,3279.75,2746.75,4084.2,4669.57,4729.73
GDPperCapita,HKG,23945.51,23862.8,20422.37,19930.41,20190.48,24175.58,23405.71,20383.06,24160.68,30447.89,30784.47
GDPperCapita,IND," 6,612.90 "," 6,215.99 "," 4,416.94 "," 4,305.20 "," 4,725.19 "," 5,601.47 "," 5,621.18 "," 4,251.34 "," 4,770.84 "," 5,937.20 "," 6,037.84 "
GDPperCapita,IND," 3,423.88 "," 3,478.41 "," 3,183.75 "," 3,178.06 "," 3,336.53 "," 3,544.39 "," 3,551.09 "," 3,307.48 "," 3,853.28 "," 3,494.92 "," 3,584.18 "
GDPperCapita,IRN," 3,088.89 "," 3,196.86 "," 3,370.38 "," 3,331.61 "," 2,439.97 "," 2,531.20 "," 3,017.26 "," 3,571.56 "," 3,886.72 "," 4,295.41 "," 4,398.80 "
GDPperCapita,IRQ," 40,898.65 "," 38,475.40 "," 34,957.89 "," 39,375.47 "," 38,834.05 "," 39,751.13 "," 40,415.96 "," 39,986.93 "," 39,827.13 "," 33,823.57 "," 34,943.59 "
GDPperCapita,ITA," 68,156.39 "," 62,515.31 "," 56,708.96 "," 49,876.71 "," 53,937.69 "," 57,214.75 "," 54,952.76 "," 51,734.25 "," 60,450.78 "," 65,099.85 "," 65,056.80 "
GDPperCapita,JPN," 38,403.78 "," 40,315.37 "," 42,432.16 "," 43,734.20 "," 46,160.43 "," 48,537.57 "," 48,359.00 "," 46,109.23 "," 49,764.79 "," 48,983.62 "," 49,905.47 "
GDPperCapita,MLT," 7,020.39 "," 7,636.07 "," 8,016.45 "," 8,094.39 "," 8,817.05 "," 9,905.41 "," 10,143.86 "," 10,408.72 "," 12,617.50 "," 12,720.22 "," 13,267.59 "
GDPperCapita,PAK," 2,847.57 "," 2,935.93 "," 2,922.00 "," 3,038.15 "," 3,077.43 "," 3,194.67 "," 3,413.85 "," 3,224.42 "," 3,460.54 "," 3,498.51 "," 3,617.76 "
GDPperCapita,PHL," 53,291.13 "," 55,123.85 "," 56,762.73 "," 57,866.74 "," 59,907.75 "," 62,823.31 "," 65,120.39 "," 63,528.63 "," 70,219.47 "," 76,329.58 "," 75,870.93 "
GDPperCapita,SAU," 52,635.17 "," 50,956.00 "," 43,596.14 "," 42,315.60 "," 45,129.43 "," 46,547.80 "," 46,374.15 "," 43,349.68 "," 52,358.62 "," 55,596.84 "," 55,955.03 "
GDPperCapita,TUR,1714.28,1590.17,1714.28,1714.28,1957.97,1957.97,1987.4,2050.16,1913.22,2410.89,2556.58
 GDP  ,USA," 3,733,804,649,549.06 "," 3,889,093,051,023.45 "," 3,357,585,719,351.56 "," 3,469,853,463,945.63 "," 3,690,849,152,517.69 "," 3,974,443,355,019.53 "," 3,888,226,035,921.49 "," 3,889,668,895,299.56 "," 4,259,934,911,821.64 "," 4,082,469,490,721.58 "," 4,123,294,185,628.80 "
 GDP  ,ARE," 2,786,315,215,249.95 "," 3,065,223,279,583.79 "," 2,934,857,946,213.47 "," 2,699,659,680,997.20 "," 2,683,488,510,504.04 "," 2,878,152,147,315.82 "," 2,857,057,847,953.02 "," 2,704,609,160,088.15 "," 3,122,480,345,924.54 "," 3,089,072,722,459.22 "," 3,070,538,286,124.55 "
 GDP  ,AUS," 2,141,924,094,298.57 "," 2,162,009,615,996.51 "," 1,836,637,711,060.55 "," 1,877,071,687,633.83 "," 1,961,796,197,354.37 "," 2,091,932,426,266.94 "," 2,011,302,198,827.41 "," 1,897,210,466,667.52 "," 2,114,355,756,913.92 "," 2,049,737,165,432.60 "," 2,062,035,588,425.20 "
 GDP  ,CAN," 2,811,876,903,329.05 "," 2,855,964,488,590.14 "," 2,439,188,643,162.50 "," 2,472,964,344,587.23 "," 2,595,151,045,197.67 "," 2,790,956,878,746.61 "," 2,728,870,246,705.83 "," 2,639,008,701,648.21 "," 2,957,879,759,263.52 "," 2,779,092,235,542.59 "," 2,798,545,881,191.40 "
 GDP  ,CHN," 957,798,998,031.28 "," 938,934,430,070.66 "," 864,313,960,482.34 "," 869,682,954,136.21 "," 858,988,578,709.76 "," 778,476,714,087.96 "," 759,934,804,372.32 "," 720,288,811,761.92 "," 819,034,484,303.17 "," 907,118,432,952.56 "," 934,331,985,941.15 "
 GDP  ,DEU," 400,218,529,748.13 "," 414,105,366,752.89 "," 370,275,469,571.14 "," 369,255,326,235.53 "," 390,516,804,029.95 "," 427,049,432,157.93 "," 417,989,721,742.68 "," 349,473,015,330.16 "," 415,021,590,687.54 "," 507,063,968,273.58 "," 528,360,654,941.10 "
 GDP  ,EGY," 492,775,566,435.18 "," 460,382,791,488.63 "," 408,212,917,871.73 "," 457,954,614,595.24 "," 486,630,147,094.69 "," 327,900,695,065.85 "," 283,649,531,542.63 "," 239,735,486,745.70 "," 359,096,907,772.99 "," 413,493,207,349.52 "," 421,763,071,496.51 "
 GDP  ,FRA," 753,864,543,430.25 "," 766,605,946,720.43 "," 669,484,381,328.89 "," 665,999,879,694.19 "," 714,994,694,991.65 "," 846,583,785,179.86 "," 838,564,705,624.64 "," 734,271,183,954.88 "," 868,585,871,464.54 "," 1,108,571,571,252.54 "," 1,137,394,432,105.10 "
 GDP  ,GBR," 274,749,460,745.26 "," 264,182,173,793.52 "," 207,691,599,310.35 "," 180,924,091,442.95 "," 233,636,097,800.34 "," 227,367,469,034.03 "," 187,217,660,050.68 "," 166,602,488,747.89 "," 166,774,104,911.48 "," 228,415,656,174.96 "," 234,637,675,128.65 "
 GDP  ,HKG," 115,739,288,446.80 "," 119,130,845,829.48 "," 110,413,820,681.03 "," 111,572,946,646.54 "," 118,540,574,727.55 "," 127,341,141,871.21 "," 128,920,265,075.53 "," 121,347,533,649.79 "," 142,866,583,124.70 "," 130,912,558,829.54 "," 135,625,410,947.40 "
 GDP  ,IRN," 288,434,108,527.13 "," 305,595,408,895.27 "," 329,366,576,819.41 "," 332,441,717,791.41 "," 248,362,771,739.13 "," 262,588,632,526.73 "," 318,678,815,489.75 "," 383,817,841,547.10 "," 424,671,765,455.70 "," 476,747,720,364.52 "," 495,817,629,179.10 "
 GDP  ,IRQ," 5,212,328,181,166.18 "," 4,896,994,405,353.29 "," 4,444,930,651,964.18 "," 5,003,677,627,544.24 "," 4,930,837,369,151.42 "," 5,040,880,939,324.86 "," 5,117,993,853,016.51 "," 5,048,789,595,589.43 "," 5,005,536,736,792.29 "," 4,232,173,916,012.54 "," 4,308,353,046,500.77 "
 GDP  ,ITA," 1,576,329,690,003.93 "," 1,467,589,901,175.46 "," 1,350,580,336,316.75 "," 1,206,562,910,556.58 "," 1,326,467,487,376.42 "," 1,428,266,513,154.48 "," 1,392,218,527,563.26 "," 1,326,944,627,876.87 "," 1,552,703,151,616.01 "," 1,692,956,646,821.54 "," 1,720,043,956,218.69 "
 GDP  ,JPN," 275,696,879,834.97 "," 291,459,983,449.58 "," 309,385,622,601.35 "," 320,860,317,562.56 "," 341,273,289,534.47 "," 361,731,070,995.73 "," 363,074,560,517.28 "," 344,943,149,590.06 "," 368,911,387,845.42 "," 359,838,583,492.12 "," 373,872,288,248.31 "
 GDP  ,MLT," 9,570,470,577,244.86 "," 10,475,624,783,235.60 "," 11,061,573,199,439.70 "," 11,233,314,018,690.10 "," 12,310,491,176,727.30 "," 13,894,907,485,398.90 "," 14,279,968,485,748.00 "," 14,687,743,556,969.60 "," 17,820,459,342,451.20 "," 17,963,171,479,824.50 "," 18,915,219,568,255.20 "
 GDP  ,PAK," 283,902,829,721.26 "," 297,483,553,299.59 "," 306,445,871,631.97 "," 318,627,003,965.99 "," 328,480,738,147.10 "," 346,841,896,890.49 "," 376,823,404,772.84 "," 361,751,145,432.40 "," 394,087,362,017.32 "," 404,284,326,110.40 "," 424,498,542,415.92 "
 GDP  ,PHL," 16,843,190,993,000.00 "," 17,550,680,174,000.00 "," 18,206,020,741,000.00 "," 18,695,110,842,000.00 "," 19,477,336,549,000.00 "," 20,533,057,312,000.00 "," 21,380,976,119,000.00 "," 21,060,473,613,000.00 "," 23,315,080,560,000.00 "," 25,439,700,000,000.00 "," 25,795,855,800,000.00 "
 GDP  ,SAU," 1,846,597,421,834.98 "," 1,805,749,878,439.94 "," 1,556,508,816,217.14 "," 1,527,994,741,907.43 "," 1,649,265,644,244.09 "," 1,725,297,938,435.76 "," 1,743,725,183,672.52 "," 1,647,598,402,302.68 "," 2,001,486,745,423.92 "," 2,137,939,220,012.50 "," 2,170,008,308,312.69 "
 GDP  ,TUR," 1,856,721,494,834.64 "," 2,039,126,469,963.35 "," 2,103,588,347,241.77 "," 2,294,796,889,945.04 "," 2,651,474,263,257.15 "," 2,702,929,639,861.50 "," 2,835,606,242,052.48 "," 2,671,595,389,575.70 "," 3,150,306,834,279.65 "," 3,416,645,826,054.50 "," 3,652,394,388,051.72 "
 GDP  ,USA," 231,218,467,669.57 "," 244,360,858,682.76 "," 270,556,104,886.46 "," 313,629,998,960.45 "," 339,205,536,454.45 "," 356,128,167,702.89 "," 320,909,472,926.46 "," 300,425,609,206.18 "," 348,262,544,719.25 "," 374,697,366,359.24 "," 382,191,313,686.18 "
